Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Birthplace,Other Group,Gender
Bona,Kim Jiyeon,김지연,보나,1995-08-19,Cosmic Girls,South Korea,Daegu,,F
Cheng Xiao,Cheng Xiao,청샤오,성소,1998-07-15,Cosmic Girls,China,Shenzhen,,F
Dawon,Nam Dawon,남다원,다원,1997-03-16,Cosmic Girls,South Korea,Seoul,,F
Dayoung,Im Dayoung,임다영,다영,1999-05-14,Cosmic Girls,South Korea,Jeju,,F
Eunseo,Son Juyeon,손주연,은서,1998-05-27,Cosmic Girls,South Korea,Incheon,,F
Exy,Chu Sojung,추소정,엑시,1995-11-06,Cosmic Girls,South Korea,Busan,,F
Luda,Lee Luda,이루다,루다,1997-03-06,Cosmic Girls,South Korea,Seoul,WJMK,F
Meiqi,Meng Meiqi,멍메이치,미기,1998-10-15,Cosmic Girls,China,Luoyang,,F
Seola,Kim Hyunjung,김현정,설아,1994-12-24,Cosmic Girls,South Korea,Seoul,WJMK,F
Soobin,Park Soobin,박수빈,수빈,1996-09-14,Cosmic Girls,South Korea,Seoul,,F
Xuanyi,Wu Xuanyi,우쉬안이,선의,1995-01-26,Cosmic Girls,China,Hainan,,F
Yeonjung,Yu Yeonjung,유연정,연정,1999-08-03,Cosmic Girls,South Korea,Gwangmyeong,I.O.I,F
Yeoreum,Lee Jinsook,이진숙,여름,1999-01-10,Cosmic Girls,South Korea,Seoul,,F
