,link,title
0,https://www.nbcnewyork.com/news/coronavirus/nyc-schools-chancellor-meisha-porter-announces-plans-to-step-down/3427208/,NYC Schools Chancellor Meisha Porter Announces Plans to Step Down
1,https://www.nbcnewyork.com/news/local/watch-live-coverage-new-york-connecticut-new-jersey-nyc-ct-weather-news-4-wnbc/1534415/,WATCH LIVE: News 4 New York at 11 a.m.
2,https://www.nbcnewyork.com/entertainment/holidays/what-to-know-ahead-of-2021-rockefeller-center-christmas-tree-lighting/3424786/,How to Watch Tonight’s Rockefeller Center Tree Lighting and More FAQs
3,https://www.nbcnewyork.com/news/local/six-hurt-following-fiery-explosion-at-brooklyn-residence-fdny/3427238/,"Basement Explosion Shakes Brooklyn Block, Leaving Six Hurt and Dozens Displaced"
4,https://www.nbcnewyork.com/news/local/nj-woman-charged-in-wrong-way-crash-with-police-that-left-2-kids-dead-on-thanksgiving/3426971/,NJ Woman Charged in Wrong-Way Crash With Police That Left 2 Kids Dead on Thanksgiving
5,https://www.nbcnewyork.com/news/local/arrest-made-in-fentanyl-cocaine-death-of-baby-manhattan-boy-cops/3427924/,"Arrest Made in Fentanyl, Cocaine Death of Baby Manhattan Boy: Cops"
6,https://www.nbcnewyork.com/news/politics/abortion-rights-at-stake-historic-supreme-court-arguments/3427341/,Listen: Supreme Court Hears Arguments in Landmark Abortion Case
7,https://www.nbcnewyork.com/news/coronavirus/us-expected-to-toughen-testing-requirement-for-travelers/3426828/,US Expected to Toughen Testing Requirement for Travelers
8,https://www.nbcnewyork.com/news/local/tv-legend-mike-gargiulo-father-of-today-in-new-yorks-michael-gargiulo-dies-at-95/3427730/,"TV Legend Mike Gargiulo, Father of ‘Today in New York's' Michael Gargiulo, Dies at 95"
9,https://www.nbcnewyork.com/news/business/money-report/toys-r-us-is-opening-a-flagship-store-at-american-dream-later-this-month-marking-its-return-to-malls/3427736/,"Toys R Us Is Opening a Flagship Store at American Dream Later This Month, Marking Its ..."
10,https://www.nbcnewyork.com/news/local/nj-woman-busted-for-stealing-20k-in-dead-brothers-disability-payments-officials/3427869/,NJ Woman Busted for Stealing $20K in Dead Brother's Disability Payments: Officials
11,https://www.nbcnewyork.com/news/coronavirus/omicron-variant-what-we-know-now-about-the-newest-covid-strain/3422966/,Omicron Variant: What We Know Now About the Newest COVID Strain
